"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Cholesterol","Cholesterol","HMDB0000067","5997","1307929","C00187","163","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C","1"
"Citric acid","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"Creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"Cystathionine","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"Cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"Cystine","L-Cystine","HMDB0000192","67678","16283","C00491","5207","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"cis-4,7,10,13,16,19-Docosahexaenoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"n-Dodecanoic acid","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
"n-5,8,11,14,17-(Z,Z,Z,Z,Z)-Eicosapentaenoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"n-5,8,11,14-(Z,Z,Z,Z)-Eicosatetraenoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"cis-11-Eicosenoic acid","Eicosenoic acid","HMDB0002231","5282768","32425","C16526","6563","CCCCCCCC/C=C\CCCCCCCCCC(=O)O","1"
"Erythritol","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"Ethanolamine","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"Fructose-1-phosphate","Fructose 1-phosphate","HMDB0001076","10400369","139419","C01094","378","OC[C@H]1O[C@](O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"Fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"Fructose","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"Fumaric acid","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"gamma-Tocopherol","Gamma-Tocopherol","HMDB0001492","14986","298402","C02483","6276","CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O","1"
"Gluconic acid","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"Glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","4170","C00092","145","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"Glucose","D-Glucose","HMDB0000122","5793","4167","C00221","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Glucuronic acid","Glucuronic acid","HMDB0000127","94715","42717","C00191","161","O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"Glutamic acid","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"Glutamine","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"Glutaric acid","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"Glyceric acid-3-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"Glyceric acid","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"Glycerol-2-phosphate","Beta-Glycerophosphoric acid","HMDB0002520","2526","17270","C02979","6708","C(C(CO)OP(=O)(O)O)O","1"
"Glycerol-3-phosphate","Glycerol 3-phosphate","HMDB0000126","439162","15978","C00093","5161","C([C@H](COP(=O)(O)O)O)O","1"
"Glycerol","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"Glycolic acid","Glycolic acid","HMDB0000115","757","17497","C03547","3219","OCC(O)=O","1"
"Glycylglycine","NA","NA","NA","NA","NA","NA","NA","0"
"Heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465","32365",NA,"6578","CCCCCCCCCCCCCCCCC(=O)O","1"
"n-Hexadecanoic acid","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"L-Histidine","L-Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"Indole-3-acetic acid","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"Inosine","Inosine","HMDB0000195","6021","17596","C00294","84","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"scyllo-Inositol","scyllo-Inositol","HMDB0006088","892","10642","C06153",NA,"O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"Isomaltose","Isomaltose","HMDB0002923","10357","4808","C05400","412","OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Lactic acid","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"Lactose","Lactose","HMDB0041627","6134","36218","C01970",NA,"[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O","1"
"Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"Lysine","L-Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"Malic acid","Malic acid","HMDB0000744","525","6650","C03668","118","OC(CC(O)=O)C(O)=O","1"
"Maltitol","Maltitol","HMDB0002928","493591","203534",NA,"3484","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O","1"
"Maltose","Maltose","HMDB0037138","439341","18167","C00897",NA,"OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Mannitol","Mannitol","HMDB0000765","6251","16899","C00392","142","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Melibiose","Melibiose","HMDB0000048","440658","4808","C05402","3478","OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"Methyl-histidine","NA","NA","NA","NA","NA","NA","NA","0"
"N-Acetyl glucosamine","beta-N-Acetylglucosamine","HMDB0000803","24139","28009","C03878","5767","CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"N-Acetylmannosamine","N-Acetylmannosamine","HMDB0001129","11096158","63154","C00645","6024","CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"Nicotinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"n-Nonanoic acid","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(=O)O","1"
"9,12-(Z,Z)-Octadecadienoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"n-Octadecanoic acid","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(=O)O","1"
"cis-9-Octadecenoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"n-9-(Z)-Octadecenoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"o-Phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"Oxalic acid","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"D-Pantothenic acid","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"Phenylalanine","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Phosphoric acid","Phosphoric acid","HMDB0002142","57424078","26078","C00009",NA,"OP(O)(O)=O","1"
"Proline","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"Putrescine","Putrescine","HMDB0001414","1045","17148","C00134","3226","NCCCCN","1"
"Pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"Pyruvic acid","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"Raffinose","Raffinose","HMDB0003213","439242","16634","C00492","138","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"Rhamnose","Rhamnose","HMDB0000849","25310","62346","C00507","5812","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","1"
"Ribitol","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"Ribose-5-phosphate","D-Ribose 5-phosphate","HMDB0001548","440101","52742","C00117","6315","O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"Ribose","D-Ribose","HMDB0000283","5779","47013","C00121","313","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"Serine","Serine","HMDB0062263","5951","17822","C00716","5203","N[C@@H](CO)C(O)=O","1"
"Squalene","Squalene","HMDB0000256","11975273","15440","C00751","197","CC(=CCC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(/C)\CCC=C(C)C)/C)/C)C","1"
"Succinic acid","Succinic acid","HMDB0000254","1110","15741","C00042","114","O=C(O)CCC(=O)O","1"
"Sucrose","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"Taurine","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"Urea","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"Uric acid","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"Uridine","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"Xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"4-Hydroxybenzoic acid","4-Hydroxybenzoic acid","HMDB0000500","135","30763","C00156","5486","OC(=O)C1=CC=C(O)C=C1","1"
"Galacturonic acid","Galacturonic acid","HMDB0002545","84740","47962","C08348","6713","O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O","1"
"Lidocaine","Lidocaine","HMDB0014426","3676","6456","C07073",NA,"CCN(CC)CC(=O)NC1=C(C)C=CC=C1C","1"
"Lyxose","Pectin","HMDB0003402","441476","47954","C08348","6916","O[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"Phosphoenolpyruvic acid","Phosphoenolpyruvic acid","HMDB0000263","1005","44897","C00074","5264","OC(=O)C(=C)OP(O)(O)=O","1"
"Septulose-7-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"2-Oxobutyric acid","3-methyl pyruvic acid","HMDB0000005","58","30831","C00109",NA,"CCC(=O)C(=O)O","1"
"Pipecolic acid","Pipecolic acid","HMDB0000070","849","17964","C00408","50","OC(=O)C1CCCCN1","1"
"Isoerythritol","NA","NA","NA","NA","NA","NA","NA","0"
"Xylulose","NA","NA","NA","NA","NA","NA","NA","0"
"Fucose","Fucose","HMDB0012327","439804","90759","C02781",NA,"OC[C@H]1OC(O)C[C@@H](O)[C@H]1O","1"
"Hippuric acid","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"Myristoleic acid","Myristoleic acid","HMDB0002000","5281119","27781","C08322","6424","CCCC/C=C\CCCCCCCC(=O)O","1"
"chiro-Inositol","NA","NA","NA","NA","NA","NA","NA","0"
"Naproxen","Naproxen","HMDB0001923","156391","7476","C01517","1461","COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O","1"
"myristic acid","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(=O)O","1"
"palmitoleic acid","Palmitoleic acid","HMDB0003229","5312427","28716","C08362","188","CCCCCC/C=C\CCCCCCCC(=O)O","1"
"methionine","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"1-monopalmitin","MG(16:0/0:0/0:0)","HMDB0011564","3084463",NA,NA,NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)O","1"
"beta-d-glucopyranose","Beta-D-Glucose","HMDB0000516","64689","15903","C00221","3755","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"erythrose","Erythrose",NA,"94176",NA,NA,NA,NA,"1"
"inositol-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"maltose","Maltose","HMDB0037138","439341","18167","C00897",NA,"OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"phosphate-fragment","NA","NA","NA","NA","NA","NA","NA","0"
"quinic acid","Quinic acid","HMDB0003072","6508","17521","C00296","3329","O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O","1"
"tartaric acid","Tartaric acid","HMDB0000956","444305","15671","C00898",NA,"O[C@H]([C@@H](O)C(O)=O)C(O)=O","1"
"threonic acid","Threonic acid","HMDB0000943","151152","49059","C01620","5891","C([C@H]([C@@H](C(=O)O)O)O)O","1"
"azelaic acid","Azelaic acid","HMDB0000784","2266","48131","C08261","5750","C(CCCC(=O)O)CCCC(=O)O","1"
"+PC(18:2/0:0) linoleoyl [M+COO","NA","NA","NA","NA","NA","NA","NA","0"
"+PC(20:4/0:0) Arachidonoyl [M+COO","NA","NA","NA","NA","NA","NA","NA","0"
"2-Hydroxy-3-(4-methoxyethylphenoxy)-propanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"2-Hydroxyhexadecanoic acid (16:0-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"2-oxoisocaproic acid","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"3-b-hydroxyandrost-5-en-17-one sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"3-Hydroxyisovalerylcarnitine (C5iso-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"3-Hydroxyoctadecenoyl carnitine (C18:1-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Abietic acid","Abietic acid",NA,"10569","28987","C06087",NA,"CC(C)C1=CC2=CC3(C)(C(=O)O)CCC3(C)2CC1","1"
"Acetyl-carnitine (C2)","NA","NA","NA","NA","NA","NA","NA","0"
"Acetylcholine","Acetylcholine chloride","HMDB0000895","6060","15355","C01996","57","CC(=O)OCC[N+](C)(C)C","1"
"a-Linolenic Acid (18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"Arachidonic Acid (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"Betaine","Betaine","HMDB0000043","247","17750","C00719","287","C[N+](C)(C)CC([O-])=O","1"
"Butyryl-carnitine (C4)","NA","NA","NA","NA","NA","NA","NA","0"
"Caffeine","Caffeine","HMDB0001847","2519","27732","C07481","1455","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","1"
"Carnosine","Carnosine","HMDB0000033","439224","15727","C00386","38","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Cervonyl carnitine (C22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"Chenodeoxycholic acid glycine conjugate","Chenodeoxycholic acid glycine conjugate","HMDB0000637","22833540",NA,"C05466","5610","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"CMPF","NA","NA","NA","NA","NA","NA","NA","0"
"Cortisol","Cortisol","HMDB0000063","657311",NA,"C00735","5124","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O","1"
"Creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"Cyclic adenosine diphosphate ribose","NA","NA","NA","NA","NA","NA","NA","0"
"Decanoyl-carnitine (C10)","NA","NA","NA","NA","NA","NA","NA","0"
"Decenoyl-carnitine (C10:1)","NA","NA","NA","NA","NA","NA","NA","0"
"DL-b-Hydroxypalmitic acid (16:0-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"DL-Tyrosine","NA","NA","NA","NA","NA","NA","NA","0"
"Docosahexaenoic acid (22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"Dodecanoyl-carnitine (C12)","NA","NA","NA","NA","NA","NA","NA","0"
"Dodecenoyl-carnitine (C12:1)","NA","NA","NA","NA","NA","NA","NA","0"
"Eicosadieneoyl-carnitine (C20:2)","NA","NA","NA","NA","NA","NA","NA","0"
"Eicoseneoyl-carnitine (C20:1)","NA","NA","NA","NA","NA","NA","NA","0"
"Gamma-Glu-Leu","L-gamma-glutamyl-L-leucine","HMDB0011171","4524287","68433",NA,NA,"CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"Glutaroyl-carnitine (C5-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"Glutathione (GSH) reduced","NA","NA","NA","NA","NA","NA","NA","0"
"Glutathione oxidized","NA","NA","NA","NA","NA","NA","NA","0"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","71920","16870","C00670","370","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"Glycocholic Acid","Glycocholic acid","HMDB0000138","23617285","29746","C01921","5169","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"Glycodeoxycholate","Deoxycholic acid glycine conjugate","HMDB0000631","3035026","27471","C05464","5604","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1([C@H](CC3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"hexadecadienoyl carnitine (C16:2)","NA","NA","NA","NA","NA","NA","NA","0"
"Hexadecenoyl-carnitine (C16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"Hexanoyl-carnitine (C6)","NA","NA","NA","NA","NA","NA","NA","0"
"3-Hydroxyoctanoate (8:0-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxydecanoyl-carnitine (C10:0-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxyhexadecadienoyl-carnitine (C16:2-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxyisovaleryl-carnitine (C5iso-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxylauroyl-carnitine (C12:0-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxylinoleoyl-carnitine (C18:2-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxymyristoyl-carnitine (C14:0-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxyoctadecenoyl-carnitine (C18:1-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Hydroxypalmitoleoyl-carnitine (C16:1-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Indoxylsulfuric acid","Indoxyl sulfate","HMDB0000682","10258","43355",NA,"524","OS(=O)(=O)OC1=CNC2=CC=CC=C12","1"
"Isovaleryl-carnitine (C5iso)","NA","NA","NA","NA","NA","NA","NA","0"
"L-Carnitine","L-Carnitine","HMDB0000062","10917","16347","C00318","52","C[N+](C)(C)C[C@H](O)CC([O-])=O","1"
"Linoleic acid (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"linolenyl carnitine (C18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"Linoleoyl-carnitine (C18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"L-Isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"L-Kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"L-Lactic acid (3:0-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"L-Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"L-Methionine","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"L-Proline","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"L-Thyroxine","Thyroxine","HMDB0000248","5819","18332","C01829","439","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"Malic acid (C4-DC-OH)","NA","NA","NA","NA","NA","NA","NA","0"
"Myristic acid (14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"Myristoyl-carnitine (C14)","NA","NA","NA","NA","NA","NA","NA","0"
"Niacinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"Octanoyl-carnitine (C8)","NA","NA","NA","NA","NA","NA","NA","0"
"Octenoyl-carnitine (C8:1)","NA","NA","NA","NA","NA","NA","NA","0"
"Oleic acid (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
