"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"adenosine_5'-triphosphate","NA","NA","NA","NA","NA","NA","NA","0"
"histidine","L-Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"N-acetylthreonine","N-Acetylthreonine","HMDB0062557","152204","45826",NA,NA,"C[C@@H](O)[C@H](NC(C)=O)C(O)=O","1"
"glucose","D-Glucose","HMDB0000122","5793","4167","C00221","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"3-(4-hydroxyphenyl)lactate","Hydroxyphenyllactic acid","HMDB0000755","9378","17385","C03672","5723","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"betaine","Betaine","HMDB0000043","247","17750","C00719","287","C[N+](C)(C)CC([O-])=O","1"
"adenine","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"2-aminoadipate","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"gamma-tocopherol","Gamma-Tocopherol","HMDB0001492","14986","298402","C02483","6276","CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O","1"
"spermidine","Spermidine","HMDB0001257","1102","16610","C00315","254","NCCCCNCCCN","1"
"nicotinamide_ribonucleotide","NA","NA","NA","NA","NA","NA","NA","0"
"lidocaine","Lidocaine","HMDB0014426","3676","6456","C07073",NA,"CCN(CC)CC(=O)NC1=C(C)C=CC=C1C","1"
"succinate","Succinic acid","HMDB0000254","1110","15741","C00042","114","O=C(O)CCC(=O)O","1"
"sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"cytidine_5'-diphosphocholine","NA","NA","NA","NA","NA","NA","NA","0"
"methyl-alpha-glucopyranoside","NA","NA","NA","NA","NA","NA","NA","0"
"stearoyl_sphingomyelin","NA","NA","NA","NA","NA","NA","NA","0"
"putrescine","Putrescine","HMDB0001414","1045","17148","C00134","3226","NCCCCN","1"
"2-hydroxyhippurate","Salicyluric acid","HMDB0000840","10253","9008","C07588","617","OC(=O)CNC(=O)C1=C(O)C=CC=C1","1"
"docosatrienoate","Docosatrienoic acid","HMDB0002823","5312557","1038735",NA,"195","CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O","1"
"kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"N-acetylglucosamine","N-Acetyl-D-glucosamine","HMDB0000215","439174","506227","C00140","3356","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"stearate","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(=O)O","1"
"N-acetylmethionine","N-Acetylmethionine","HMDB0011745","6180","21557","C02712",NA,"CSCC[C@H](NC(C)=O)C(O)=O","1"
"guanine","Guanine","HMDB0000132","764","16235","C00242","315","NC1=NC(=O)C2=C(N1)N=CN2","1"
"sphingosine","Sphingosine","HMDB0000252","5353955","16393","C00319","392","CCCCCCCCCCCCC/C=C/C(C(CO)N)O","1"
"quinate","Quinic acid","HMDB0003072","6508","17521","C00296","3329","O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O","1"
"deoxycarnitine","4-Trimethylammoniobutanoic acid","HMDB0001161","134","1941","C01181","6043","C[N+](C)(C)CCCC(=O)O","1"
"proline","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"gluconate","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"choline","Choline","HMDB0000097","305","15354","C00114","56","C[N+](C)(C)CCO","1"
"acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767",NA,"C02571","5213","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"1-linoleoylglycerophosphocholine","1-Linoleoylglycerophosphocholine","HMDB0061692",NA,NA,NA,NA,"CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC[N+](C)(C)C","1"
"propionylcarnitine","Propionylcarnitine","HMDB0000824","107738","28867","C03017","5787","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"saccharopine","Saccharopine","HMDB0000279","160556","16927","C00449","383","N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"palmitate","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"adenosine_5'-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"alpha-ketoglutarate","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"N-acetylalanine","N-Acetyl-L-alanine","HMDB0000766","88064","40992",NA,"5733","C[C@H](NC(C)=O)C(O)=O","1"
"glycerophosphoethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","52330","C01233","5151","NCCOP(O)(=O)OCC(O)CO","1"
"valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"malate","L-Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"N-ethylglycinexylidide","Monoethylglycinexylidide","HMDB0060656","24415","222828","C16561",NA,"CCNCC(=O)NC1=C(C)C=CC=C1C","1"
"gamma-aminobutyrate","Gamma-Aminobutyric acid","HMDB0000112","223130","16865","C00334",NA,"NCCCC(=O)O","1"
"xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"4-hydroxybutyrate","4-Hydroxybutyric acid","HMDB0000710","10413","30830","C01991","5678","C(CC(=O)O)CO","1"
"carnitine","L-Carnitine","HMDB0000062","10917","16347","C00318","52","C[N+](C)(C)C[C@H](O)CC([O-])=O","1"
"myristate","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(=O)O","1"
"1-palmitoylglycerophosphocholine","1-palmitoylglycerophosphocholine","HMDB0062541","86555",NA,"C04102",NA,"CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC[N+](C)(C)C","1"
"fumarate","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"pantothenate","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"hypotaurine","Hypotaurine","HMDB0000965","107812","16668","C00519","281","NCCS(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"N6-acetyllysine","N6-Acetyl-L-lysine","HMDB0000206","92832","17752","C02727","5216","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"nicotinamide_riboside","NA","NA","NA","NA","NA","NA","NA","0"
"ethanolamine","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"serine","Serine","HMDB0062263","5951","17822","C00716","5203","N[C@@H](CO)C(O)=O","1"
"threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"fucose","Fucose","HMDB0012327","439804","90759","C02781",NA,"OC[C@H]1OC(O)C[C@@H](O)[C@H]1O","1"
"glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"N-acetyltryptophan","N-acetyltryptophan","HMDB0013713","700653","74640",NA,NA,"CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"1-arachidonylglycerol","NA","NA","NA","NA","NA","NA","NA","0"
"ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"butyrylcarnitine","Butyrylcarnitine","HMDB0002013","439829",NA,"C02862","6436","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"5,6-dihydrouracil","Dihydrouracil","HMDB0000076","649","15901","C00429","285","O=C1CCNC(=O)N1","1"
"1-oleoylglycerophosphocholine","LysoPC(18:1(9Z))","HMDB0002815","16081932",NA,"C04230","184","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"glycerate","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"1-stearoylglycerol","NA","NA","NA","NA","NA","NA","NA","0"
"isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"N1-methyladenosine","1-Methyladenosine","HMDB0003331","27476","16020","C02494","6888","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"3-hydroxybutyrate","D(-)-beta-hydroxy butyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(=O)O","1"
"5-oxoproline","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"ribitol","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"methionine","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"nonadecanoate","Nonadecanoic acid","HMDB0000772","12591","39246","C16535","5738","CCCCCCCCCCCCCCCCCCC(=O)O","1"
"glutarate","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"glutamate","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"lysine","L-Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"docosapentaenoate","Docosapentaenoic acid (22n-6)","HMDB0001976","6441454","65136",NA,"6412","CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"dimethylarginine","NA","NA","NA","NA","NA","NA","NA","0"
"eicosapentaenoate","Eicosapentaenoic acid","HMDB0001999","446284","28364","C06428","6423","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"riboflavin","Riboflavin","HMDB0000244","493570","17015","C00255","5249","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1","1"
"linoleate","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O","1"
"3-dehydrocarnitine","3-Dehydrocarnitine","HMDB0012154","6991982","57885","C02636",NA,"C[N+](C)(C)CC(=O)CC([O-])=O","1"
"adrenate","Adrenic acid","HMDB0002226","5497181","53487","C16527","6560","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O","1"
"tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"glycerol","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
"palmitoleate","Palmitoleic acid","HMDB0003229","5312427","28716","C08362","188","CCCCCC/C=C\CCCCCCCC(=O)O","1"
"cystine","L-Cystine","HMDB0000192","67678","16283","C00491","5207","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"guanosine_5'-_monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"phenylalanine","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"dihomo-linoleate","NA","NA","NA","NA","NA","NA","NA","0"
"linolenate_[alpha_or_gamma_(18:3n3_or_6","NA","NA","NA","NA","NA","NA","NA","0"
"leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"docosadienoate","NA","NA","NA","NA","NA","NA","NA","0"
"docosahexaenoate","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"arachidonate","Arachidonate","HMDB0060102","444899",NA,"C00219",NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"xanthosine","Xanthosine","HMDB0000299","64959","18107","C01762","3408","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
"dihomo-linolenate","NA","NA","NA","NA","NA","NA","NA","0"
"cis-vaccenate","NA","NA","NA","NA","NA","NA","NA","0"
"oleate","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
