"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"C00597","3-Phosphoglyceric acid","HMDB0000807","724","17050","C00597","150","OC(COP(O)(O)=O)C(O)=O","1"
"C00258","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"C02979","Beta-Glycerophosphoric acid","HMDB0002520","2526","17270","C02979","6708","C(C(CO)OP(=O)(O)O)O","1"
"C00093","Glycerol 3-phosphate","HMDB0000126","439162","15978","C00093","5161","C([C@H](COP(=O)(O)O)O)O","1"
"C00037","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"C00160","Glycolate",NA,"3460","17497 29805","C00160",NA,NA,"1"
"C02037","Glycyl-glycine","HMDB0011733","11163","17201","C02037",NA,"NCC(=O)NCC(O)=O","1"
"C00249","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"C00135","L-Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"C00262","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"C00954","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"C00294","Inosine","HMDB0000195","6021","17596","C00294","84","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"C00137","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"C06153","scyllo-Inositol","HMDB0006088","892","10642","C06153",NA,"O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00407","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"C00252","NA","NA","NA","NA","NA","NA","NA","0"
"C00186","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"C01970","Lactose","HMDB0041627","6134","36218","C01970",NA,"[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O","1"
"C00123","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"C00047","L-Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"C00711","NA","NA","NA","NA","NA","NA","NA","0"
"C00392","Mannitol","HMDB0000765","6251","16899","C00392","142","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"C05402","Melibiose","HMDB0000048","440658","4808","C05402","3478","OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"C01152","1-Methylhistidine","HMDB0000001","92105","50599","C01152","3741","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"C00140","N-Acetyl-D-glucosamine","HMDB0000215","439174","506227","C00140","3356","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"C00645","N-Acetylmannosamine","HMDB0001129","11096158","63154","C00645","6024","CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"C00153","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"C01601","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(=O)O","1"
"C01595","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O","1"
"C01530","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(=O)O","1"
"C00712","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"C00346","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"C00077","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"C00209","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"C00864","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"C00079","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"C00148","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"C00134","Putrescine","HMDB0001414","1045","17148","C00134","3226","NCCCCN","1"
"C01879","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"C00022","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"C00492","Raffinose","HMDB0003213","439242","16634","C00492","138","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"C00507","Rhamnose","HMDB0000849","25310","62346","C00507","5812","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","1"
"C00474","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"C00117","NA","NA","NA","NA","NA","NA","NA","0"
"C00121","D-Ribose","HMDB0000283","5779","47013","C00121","313","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"C00065","L-Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"C00042","Succinic acid","HMDB0000254","1110","15741","C00042","114","O=C(O)CCC(=O)O","1"
"C00089","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"C00245","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"C00188","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"C00078","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"C00082","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"C00106","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"C00086","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"C00366","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"C00299","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00183","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"C00385","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"C00156","4-Hydroxybenzoic acid","HMDB0000500","135","30763","C00156","5486","OC(=O)C1=CC=C(O)C=C1","1"
"D00643","NA","NA","NA","NA","NA","NA","NA","0"
"C07073","Lidocaine","HMDB0014426","3676","6456","C07073",NA,"CCN(CC)CC(=O)NC1=C(C)C=CC=C1C","1"
"C00476","D-Lyxose",NA,"3759","16789 82838","C00476",NA,NA,"1"
"C00074","Phosphoenolpyruvic acid","HMDB0000263","1005","44897","C00074","5264","OC(=O)C(=C)OP(O)(O)=O","1"
"C00281","NA","NA","NA","NA","NA","NA","NA","0"
"C00109","3-methyl pyruvic acid","HMDB0000005","58","30831","C00109",NA,"CCC(=O)C(=O)O","1"
"C00408","Pipecolic acid","HMDB0000070","849","17964","C00408","50","OC(=O)C1CCCCN1","1"
"C00312","L-Threo-2-pentulose","HMDB0000751","89810215","17399","C00312","5719","OC[C@]1(O)OC[C@H](O)[C@H]1O","1"
"C01018","D-Fucose","HMDB0029196","444200","42564","C01018",NA,"C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"C01586","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"C08322","Myristoleic acid","HMDB0002000","5281119","27781","C08322","6424","CCCC/C=C\CCCCCCCC(=O)O","1"
"C19891","D-chiro-inositol","HMDB0240209","892","27372","C19891",NA,"[H][C@]1(O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","1"
"C01517","Naproxen","HMDB0001923","156391","7476","C01517","1461","COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O","1"
"C06424","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(=O)O","1"
"C08362","Palmitoleic acid","HMDB0003229","5312427","28716","C08362","188","CCCCCC/C=C\CCCCCCCC(=O)O","1"
"C00073","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"C04230","LysoPC(18:1(9Z))","HMDB0002815","16081932",NA,"C04230","184","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"C06087","Abietic acid",NA,"10569","28987","C06087",NA,"CC(C)C1=CC2=CC3(C)(C(=O)O)CCC3(C)2CC1","1"
"C02571","L-Acetylcarnitine","HMDB0000201","7045767",NA,"C02571","5213","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"C01996","Acetylcholine chloride","HMDB0000895","6060","15355","C01996","57","CC(=O)OCC[N+](C)(C)C","1"
"C06427","Alpha-Linolenic acid","HMDB0001388","5280934","27432","C06427","6208","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1"
"C00719","Betaine","HMDB0000043","247","17750","C00719","287","C[N+](C)(C)CC([O-])=O","1"
"C02862","Butyrylcarnitine","HMDB0002013","439829",NA,"C02862","6436","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"C07481","Caffeine","HMDB0001847","2519","27732","C07481","1455","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","1"
"C00386","Carnosine","HMDB0000033","439224","15727","C00386","38","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"C05466","Chenodeoxycholic acid glycine conjugate","HMDB0000637","22833540",NA,"C05466","5610","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"C00735","Cortisol","HMDB0000063","657311",NA,"C00735","5124","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O","1"
"C00300","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"C13050","NA","NA","NA","NA","NA","NA","NA","0"
"C03299","O-decanoyl-L-carnitine","HMDB0062631","11953821","28717","C03299",NA,"[H][C@@](CC([O-])=O)(C[N+](C)(C)C)OC(=O)CCCCCCCCC","1"
"C01536","6-Hydroxysandoricin","HMDB0037556","1153","18186","C01536",NA,"COC(=O)C(O)C1C(C)(C)C(CC2OC34C(O)C(=O)OC(C5=COC=C5)C3(C)C(CC(C4=C)C12C)OC(C)=O)OC(C)=O","1"
"C00051","Glutathione","HMDB0062697","745","57925","C00051",NA,"NC(CCC(O)=NC(CS)C(O)=NCC(O)=O)C(O)=O","1"
"C00127","Oxidized glutathione","HMDB0003337","65359","17858","C00127","6893","N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"C00670","Glycerophosphocholine","HMDB0000086","71920","16870","C00670","370","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"C01921","Glycocholic acid","HMDB0000138","23617285","29746","C01921","5169","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"C00318","L-Carnitine","HMDB0000062","10917","16347","C00318","52","C[N+](C)(C)C[C@H](O)CC([O-])=O","1"
"C01829","Thyroxine","HMDB0000248","5819","18332","C01829","439","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","1"
"C03668","Malic acid","HMDB0000744","525","6650","C03668","118","OC(CC(O)=O)C(O)=O","1"
"C02838","L-Octanoylcarnitine","HMDB0000791","11953814","18102","C02838",NA,"CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"C01712","Elaidic acid","HMDB0000573","637517","27997","C01712","3406","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"C06804","Acetaminophen","HMDB0001859","1983","46195","C06804","6353","CC(=O)NC1=CC=C(O)C=C1","1"
"C02990","L-Palmitoylcarnitine","HMDB0000222","11953816","17490","C02990","5231","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"C04102","1-palmitoylglycerophosphocholine","HMDB0062541","86555",NA,"C04102",NA,"CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC[N+](C)(C)C","1"
"C02057","NA","NA","NA","NA","NA","NA","NA","0"
"C02305","Phosphocreatine","HMDB0001511","587","17287","C02305","6288","CN(CC(O)=O)C(=N)NP(O)(O)=O","1"
"C03017","Propionylcarnitine","HMDB0000824","107738","28867","C03017","5787","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"C00021","S-Adenosylhomocysteine","HMDB0000939","439155","16680","C00021","296","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"C08277","Sebacic acid","HMDB0000792","5192","41865","C08277","4240","C(CCCCC(=O)O)CCCC(=O)O","1"
"C06124","Sphingosine 1-phosphate","HMDB0000277","5353956","392583","C06124","5272","CCCCCCCCCCCCC/C=C/C(C(COP(=O)(O)O)N)O","1"
"C05465","Tetrahydrocortisol","HMDB0000949","44725717",NA,"C05465","1914","C[C@]12CC[C@H](CC1CCC3C2[C@H](C[C@]4(C3CC[C@@]4(C(=O)CO)O)C)O)O","1"
"C05463","Taurodeoxycholic acid","HMDB0000896","2733768","9410","C05463","5853","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"C07480","Theobromine","HMDB0002825","5429","28946","C07480","1456","CN1C=NC2=C1C(O)=NC(=O)N2C","1"
"C07130","Theophylline","HMDB0001889","2153","28177","C07130","1458","CN1C2=C(NC=N2)C(=O)N(C)C1=O","1"
