"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"5988","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"1123","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"6288","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"6305","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"6057","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"1174","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"1176","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"1175","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"6029","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"6287","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"1188","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"135","4-Hydroxybenzoic acid","HMDB0000500","135","30763","C00156","5486","OC(=O)C1=CC=C(O)C=C1","1"
"84740","Galacturonic acid","HMDB0002545","84740","47962","C08348","6713","O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O","1"
"3676","Lidocaine","HMDB0014426","3676","6456","C07073",NA,"CCN(CC)CC(=O)NC1=C(C)C=CC=C1C","1"
"65550","NA","NA","NA","NA","NA","NA","NA","0"
"1005","Phosphoenolpyruvic acid","HMDB0000263","1005","44897","C00074","5264","OC(=O)C(=C)OP(O)(O)=O","1"
"22833559","NA","NA","NA","NA","NA","NA","NA","0"
"58","3-methyl pyruvic acid","HMDB0000005","58","30831","C00109",NA,"CCC(=O)C(=O)O","1"
"849","Pipecolic acid","HMDB0000070","849","17964","C00408","50","OC(=O)C1CCCCN1","1"
"22253","NA","NA","NA","NA","NA","NA","NA","0"
"444200","D-Fucose","HMDB0029196","444200","42564","C01018",NA,"C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"464","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"5281119","Myristoleic acid","HMDB0002000","5281119","27781","C08322","6424","CCCC/C=C\CCCCCCCC(=O)O","1"
"156391","Naproxen","HMDB0001923","156391","7476","C01517","1461","COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O","1"
"3043944","NA","NA","NA","NA","NA","NA","NA","0"
"71464474","NA","NA","NA","NA","NA","NA","NA","0"
"71464558","(9Z)-3-hydroxyoctadecenoylcarnitine",NA,"71464558","73076",NA,NA,"CCCCCCCC/C=C\CCCCCC(O)CC(=O)OC(CC(=O))C(C)(C)C","1"
"71464579","(9Z)-3-hydroxydodecenoylcarnitine",NA,"71464579","73106",NA,NA,"CC/C=C\CCCCCC(O)CC(=O)OC(CC(=O))C(C)(C)C","1"
"71464545","(7Z,10Z)-hexadecadienoylcarnitine",NA,"71464545","73065",NA,NA,"CCCCC/C=C\C/C=C\CCCCCC(=O)OC(CC(=O))C(C)(C)C","1"
"108156","PC(O-16:0/2:0)","HMDB0062195","108156","44811",NA,NA,"CCCCCCCCCCCCCCCCOC(COP(=O)()OCC(C)(C)C)OC(C)=O","1"
"24779504","PC(O-16:1(9E)/0:0)",NA,"24779504",NA,NA,NA,"CCCCCC/C=C/CCCCCCCCOC(O)COP(=O)()OCC(C)(C)C","1"
"10917802","LysoPC(P-16:0)","HMDB0010407","10917802",NA,"C04230",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"71464539","(5Z,8Z)-tetradecadienoylcarnitine",NA,"71464539","73059",NA,NA,"CCCCC/C=C\C/C=C\CCCC(=O)OC(CC(=O))C(C)(C)C","1"
